[21:06:08] [info] VERTEX: Creating window: Game (1280, 720, 1.7777778)
[21:06:10] [info] APP: x: 39, y: 10, z: 13
[21:06:10] [info] APP: x: 39, y: 9, z: 8
[21:06:10] [info] APP: x: 39, y: 10, z: 13
[21:06:10] [info] APP: x: 40, y: 10, z: 6
[21:06:10] [info] APP: x: 41, y: 10, z: 6
[21:06:10] [info] APP: x: 42, y: 10, z: 6
[21:06:10] [info] APP: x: 43, y: 10, z: 10
[21:06:10] [info] APP: x: 43, y: 11, z: 5
[21:06:10] [info] APP: x: 44, y: 11, z: 6
[21:06:10] [info] APP: x: 45, y: 11, z: 6
[21:06:10] [info] APP: x: 46, y: 11, z: 6
[21:06:10] [info] APP: x: 47, y: 11, z: 6
[21:06:10] [info] APP: x: 48, y: 11, z: 6
[21:06:10] [info] APP: x: 49, y: 11, z: 6
[21:06:10] [info] APP: x: 50, y: 11, z: 6
[21:06:10] [info] APP: x: 51, y: 11, z: 6
[21:06:10] [info] APP: x: 52, y: 11, z: 6
[21:06:10] [info] APP: x: 53, y: 11, z: 10
[21:06:10] [info] APP: x: 53, y: 12, z: 5
[21:06:10] [info] APP: x: 54, y: 12, z: 6
[21:06:10] [info] APP: x: 55, y: 12, z: 6
[21:06:10] [info] APP: x: 56, y: 12, z: 6
[21:06:10] [info] APP: x: 57, y: 12, z: 10
[21:06:10] [info] APP: x: 57, y: 13, z: 5
[21:06:10] [info] APP: x: 58, y: 13, z: 6
[21:06:10] [info] APP: x: 59, y: 13, z: 15
[21:06:10] [info] APP: x: 60, y: 13, z: 6
[21:06:10] [info] APP: x: 61, y: 13, z: 10
[21:06:10] [info] APP: x: 61, y: 14, z: 9
[21:06:10] [info] APP: x: 59, y: 14, z: 9
[21:06:10] [info] APP: x: 61, y: 15, z: 3
[21:06:10] [info] APP: x: 60, y: 15, z: 6
[21:06:10] [info] APP: x: 59, y: 15, z: 5
[21:06:10] [info] APP: x: 59, y: 13, z: 15
[21:06:10] [info] APP: x: 59, y: 12, z: 9
[21:06:10] [info] APP: x: 59, y: 11, z: 9
[21:06:10] [info] APP: x: 59, y: 10, z: 12
[21:06:10] [info] APP: x: 60, y: 10, z: 6
[21:06:10] [info] APP: x: 61, y: 10, z: 6
[21:06:10] [info] APP: x: 62, y: 10, z: 6
[21:06:10] [info] APP: x: 63, y: 10, z: 6
[21:06:10] [info] APP: x: 64, y: 10, z: 6
[21:06:10] [info] APP: x: 65, y: 10, z: 3
[21:06:10] [info] APP: x: 65, y: 9, z: 12
[21:06:10] [info] APP: x: 66, y: 9, z: 6
[21:06:10] [info] APP: x: 67, y: 9, z: 14
[21:06:10] [info] APP: x: 68, y: 9, z: 6
[21:06:10] [info] APP: x: 69, y: 9, z: 10
[21:06:10] [info] APP: x: 69, y: 10, z: 9
[21:06:10] [info] APP: x: 67, y: 10, z: 9
[21:06:10] [info] APP: x: 69, y: 11, z: 15
[21:06:10] [info] APP: x: 70, y: 11, z: 6
[21:06:10] [info] APP: x: 71, y: 11, z: 10
[21:06:10] [info] APP: x: 71, y: 12, z: 9
[21:06:10] [info] APP: x: 69, y: 12, z: 9
